Name                    Type                Forward_MACs    FPercent    Memory      MPercent    Params     PPercent    InShape        OutShape
Transpose_223           Transpose           0               0.00%       181,888     0.22%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_226               Split               0               0.00%       181,888     0.22%       0          0.00%       1x464x7x7      1x232x7x7
Conv_227                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_228  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_229                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Conv_230                Conv                102,312         0.05%       99,296      0.12%       2,088      0.09%       1x232x7x7      1x232x7x7
BatchNormalization_231  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Conv_232                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_233  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_234                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Transpose_238           Transpose           0               0.00%       181,888     0.22%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Split_241               Split               0               0.00%       181,888     0.22%       0          0.00%       1x464x7x7      1x232x7x7
Conv_242                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_243  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_244                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Conv_245                Conv                102,312         0.05%       99,296      0.12%       2,088      0.09%       1x232x7x7      1x232x7x7
BatchNormalization_246  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Conv_247                Conv                2,637,376       1.27%       306,240     0.36%       53,824     2.35%       1x232x7x7      1x232x7x7
BatchNormalization_248  BatchNormalization  352,408         0.17%       94,656      0.11%       928        0.04%       1x232x7x7      1x232x7x7
Relu_249                Relu                11,368          0.01%       90,944      0.11%       0          0.00%       1x232x7x7      1x232x7x7
Transpose_253           Transpose           0               0.00%       181,888     0.22%       0          0.00%       1x2x232x7x7    1x232x2x7x7
Conv_256                Conv                23,281,664      11.22%      2,301,952   2.73%       475,136    20.71%      1x464x7x7      1x1024x7x7
BatchNormalization_257  BatchNormalization  1,555,456       0.75%       417,792     0.50%       4,096      0.18%       1x1024x7x7     1x1024x7x7
Relu_258                Relu                50,176          0.02%       401,408     0.48%       0          0.00%       1x1024x7x7     1x1024x7x7
ReduceMean_259          ReduceMean          50,176          0.02%       8,192       0.01%       0          0.00%       1x1024x7x7     1x1024
Gemm_260                Gemm                1,025,000       0.49%       4,108,000   4.87%       1,025,000  44.67%      1x1024         1x1000
Total                   _                   207,580,776     100%        84,371,520  100%        2,294,784  100%        _              _
